@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Acoustic_guitar,Applause,Bark,Bass_drum,Burping_or_eructation,Bus,Cello,Chime,Clarinet,Computer_keyboard,Cough,Cowbell,Double_bass,Drawer_open_or_close,Electric_piano,Fart,Finger_snapping,Fireworks,Flute,Glockenspiel,Gong,Gunshot_or_gunfire,Harmonica,Hi-hat,Keys_jangling,Knock,Laughter,Meow,Microwave_oven,Oboe,Saxophone,Scissors,Shatter,Snare_drum,Squeak,Tambourine,Tearing,Telephone,Trumpet,Violin_or_fiddle,Writing}

@DATA
0.043784,0.018765,3.198621,0.115166,0.171577,0.030866,0.002322,0.048714,-29.091974,0.322196,-2.107093,0.869546,0.538375,-0.504095,-0.422648,0.675524,-0.027229,-0.512846,0.259384,0.182200,-0.141360,0.001614,0.002159,0.064673,0.005410,0.000834,0.000322,0.000323,0.000151,0.000230,0.000310,0.000399,0.000376,0.017702,0.004970,0.013550,0.128655,0.027879,0.037093,0.033762,0.001778,0.008649,1.548662,0.700430,0.306908,0.155029,0.160888,0.105937,0.100395,0.095921,0.098091,0.099571,0.090623,0.072828,0.067857,0.003030,0.000514,0.014704,0.001501,0.001008,0.000162,0.000176,0.000051,0.000141,0.000249,0.000475,0.000134,0.004068,Acoustic_guitar
0.044286,0.022888,3.202882,0.130540,0.173386,0.394551,0.007243,0.080535,-24.871178,2.486639,0.310902,-0.064053,-0.352648,-0.358641,-0.049350,0.179087,0.100186,0.160940,0.029763,-0.222419,-0.194734,0.042019,0.008847,0.071894,0.009479,0.016477,0.014434,0.008265,0.001056,0.029196,0.026031,0.013946,0.002932,0.038057,0.031060,0.012187,0.111464,0.039659,0.024843,0.365903,0.006574,0.087200,1.002093,0.451317,0.291033,0.301785,0.301940,0.245822,0.298309,0.236898,0.316504,0.216435,0.243186,0.186817,0.208236,0.030614,0.008486,0.049570,0.014079,0.018596,0.014940,0.007836,0.000923,0.015313,0.012924,0.008353,0.003848,0.012175,Acoustic_guitar
0.024995,0.010044,2.948479,0.136691,0.228809,0.114329,0.007640,0.029567,-30.535360,3.487525,1.111821,0.952874,0.475349,0.393469,0.284598,0.286873,0.156770,0.036710,-0.049972,-0.066186,-0.064598,0.006859,0.000230,0.008197,0.004376,0.089835,0.002246,0.023261,0.000075,0.000687,0.106839,0.007057,0.000255,0.037214,0.023491,0.004514,0.135088,0.027136,0.015815,0.154971,0.005888,0.040217,1.382190,0.519098,0.288917,0.162701,0.143711,0.143050,0.105322,0.124732,0.099403,0.088315,0.077919,0.087634,0.074410,0.004426,0.000263,0.005115,0.005354,0.014142,0.001824,0.013883,0.000094,0.000447,0.016096,0.002619,0.000308,0.003087,Acoustic_guitar
0.031889,0.048543,3.214634,0.081943,0.140442,0.009114,0.049570,0.034286,-28.189852,1.779157,-2.416724,-0.265643,0.906746,0.601236,-0.621025,-0.619752,0.169932,0.458623,-0.125056,-0.464471,-0.180629,0.001266,0.000057,0.000678,0.000257,0.000535,0.000255,0.000216,0.000352,0.000354,0.303588,0.002438,0.000617,0.083806,0.002321,0.014063,0.106851,0.026853,0.048363,0.022567,0.050312,0.002590,1.697655,0.657350,0.394877,0.242879,0.128532,0.135026,0.143129,0.132220,0.084955,0.100941,0.081981,0.117280,0.104982,0.003868,0.000123,0.001330,0.000289,0.001598,0.000519,0.000498,0.000354,0.000799,0.036236,0.003027,0.000775,0.010053,Acoustic_guitar
0.051270,0.017805,3.017310,0.210592,0.258939,0.385011,0.004982,0.051724,-26.448798,2.066821,0.775352,0.607995,0.531355,0.144711,-0.092630,0.011056,-0.039168,0.156829,0.083176,0.083334,0.287549,0.013613,0.000804,0.219409,0.009714,0.011157,0.003635,0.008149,0.000296,0.003032,0.002779,0.012801,0.003310,0.059934,0.043664,0.024617,0.400277,0.028723,0.041439,0.368962,0.005916,0.061177,2.404401,0.599086,0.386944,0.501970,0.181937,0.202831,0.322380,0.197471,0.208601,0.061257,0.130634,0.264588,0.127507,0.015486,0.000722,0.080788,0.007412,0.003393,0.002822,0.004059,0.000244,0.002117,0.002226,0.008655,0.005748,0.021588,Acoustic_guitar
0.012368,0.024748,3.066500,0.082541,0.170319,0.018997,0.002926,0.015260,-28.154060,4.155882,0.579202,0.389093,-0.246780,-0.329004,-0.469889,-0.287882,-0.371115,-0.346379,-0.201170,-0.072806,-0.012870,0.007071,0.000608,0.013101,0.147556,0.053729,0.009006,0.006691,0.000175,0.012192,0.032380,0.008759,0.001334,0.040938,0.001219,0.006500,0.064993,0.034139,0.044741,0.017365,0.002390,0.001896,1.406659,0.821154,0.277024,0.137910,0.144842,0.142247,0.138214,0.147922,0.155880,0.158207,0.108541,0.098355,0.094936,0.002411,0.000553,0.002004,0.015463,0.007056,0.002548,0.001795,0.000193,0.005434,0.009741,0.002749,0.001116,0.003314,Acoustic_guitar
0.033978,0.002071,3.303684,0.192123,0.249535,0.135712,0.001355,0.035209,-37.108634,1.837589,-0.828419,-0.702947,-0.549700,0.197401,0.432843,1.055019,-0.106017,-0.371518,-0.228946,-0.080610,0.180594,0.002537,0.001452,0.027589,0.172405,0.003124,0.000898,0.001729,0.000268,0.000357,0.001182,0.001211,0.000586,0.049437,0.005889,0.004484,0.015955,0.027590,0.024916,0.052393,0.001212,0.007186,1.549387,0.458535,0.345334,0.378636,0.277101,0.196335,0.173162,0.154348,0.149012,0.150799,0.100143,0.119250,0.121856,0.006033,0.000406,0.010555,0.027862,0.002439,0.000401,0.002418,0.000092,0.000312,0.001175,0.001592,0.000512,0.005520,Acoustic_guitar
0.059634,0.004990,3.050985,0.152874,0.219710,0.179839,0.002907,0.009092,-34.833209,3.271801,0.505728,0.474859,0.108679,0.234247,0.084539,0.075701,0.130463,0.023992,-0.003217,0.091434,0.014949,0.002963,0.002040,0.091239,0.001507,0.047204,0.001170,0.067065,0.000289,0.000670,0.008929,0.107083,0.000391,0.047636,0.029965,0.004095,0.089567,0.031142,0.021305,0.072528,0.001431,0.001837,1.337974,0.543519,0.177461,0.171295,0.122846,0.143044,0.120564,0.142105,0.146394,0.126608,0.115135,0.111348,0.100242,0.001489,0.000817,0.035668,0.000951,0.016616,0.000815,0.026376,0.000267,0.000496,0.003694,0.029115,0.000374,0.007381,Acoustic_guitar
0.011472,0.005147,3.286088,0.065627,0.145533,0.014996,0.002172,0.018890,-32.155063,3.694473,-0.499661,0.633974,0.771959,0.066945,-0.501221,0.401605,0.514192,0.044949,-0.141120,0.158705,0.053224,0.008110,0.000413,0.009614,0.000400,0.002432,0.019434,0.189289,0.000081,0.000334,0.001109,0.000894,0.002850,0.052806,0.002684,0.004105,0.020256,0.019229,0.031944,0.014167,0.002637,0.003852,1.014927,0.555316,0.371285,0.276753,0.205699,0.203084,0.219190,0.182974,0.170084,0.205375,0.153993,0.152606,0.132030,0.009220,0.000363,0.002867,0.000327,0.001361,0.009355,0.021042,0.000078,0.000274,0.000837,0.000905,0.001070,0.004372,Acoustic_guitar
0.047108,0.011164,3.307176,0.125701,0.195177,0.103628,0.000171,0.048321,-30.589158,2.112575,-1.246844,0.587240,-0.041210,-1.377392,-0.671924,-0.189804,-0.025092,-0.007222,0.514424,0.603642,-0.172530,0.001351,0.001655,0.074577,0.003351,0.005881,0.002207,0.006159,0.014054,0.035467,0.004091,0.002052,0.000975,0.022585,0.006840,0.007812,0.008680,0.046313,0.031637,0.109624,0.000157,0.004904,1.698206,0.525204,0.411872,0.208772,0.096296,0.166533,0.143043,0.129678,0.122217,0.086665,0.103991,0.100039,0.058704,0.000240,0.000316,0.008588,0.000463,0.009585,0.000286,0.001214,0.003826,0.004297,0.000644,0.000357,0.000239,0.001558,Acoustic_guitar
0.028696,0.011420,3.270624,0.143347,0.217638,0.177296,0.000940,0.040018,-31.545476,2.013473,-0.874042,-0.247226,-0.139423,0.448034,0.793059,0.259809,-0.407169,-0.364436,0.302205,0.425064,-0.133632,0.000957,0.000454,0.071909,0.002152,0.030141,0.010344,0.101223,0.000763,0.000651,0.001140,0.009621,0.000476,0.035894,0.016840,0.014072,0.048484,0.046162,0.023794,0.165855,0.000520,0.015336,2.347041,0.601374,0.376916,0.194237,0.259756,0.196510,0.143721,0.133921,0.173399,0.147143,0.146398,0.148042,0.124969,0.000408,0.000213,0.032978,0.000661,0.016647,0.002744,0.047952,0.000297,0.000248,0.000564,0.004881,0.000172,0.010564,Acoustic_guitar
0.036162,0.008028,3.312164,0.123177,0.192091,0.029870,0.000427,0.039229,-30.688766,1.000691,-2.427662,-0.137451,0.721235,0.341477,-0.627919,-0.320912,0.468529,0.239684,-0.365356,-0.158610,0.136555,0.002470,0.000858,0.001610,0.000630,0.000502,0.000466,0.000689,0.000613,0.001137,0.005366,0.160451,0.013517,0.044000,0.000885,0.005501,0.015500,0.026904,0.032296,0.017073,0.000750,0.003445,0.769276,0.688224,0.262258,0.153950,0.099918,0.112519,0.068554,0.060793,0.073954,0.049833,0.049376,0.046977,0.047067,0.003033,0.000076,0.004014,0.001071,0.000624,0.000274,0.000199,0.000086,0.000161,0.000555,0.010405,0.001039,0.002244,Acoustic_guitar
0.035884,0.024138,3.305787,0.105452,0.174984,0.032614,0.004023,0.042491,-28.524783,1.550676,-2.264584,-0.247983,-0.317859,-0.451173,0.261875,0.873585,0.130139,-0.661213,-0.381632,0.243342,-0.023407,0.001450,0.002359,0.110225,0.087504,0.002164,0.000885,0.000644,0.000313,0.000406,0.000582,0.000597,0.000615,0.043454,0.007027,0.011751,0.013450,0.025773,0.032323,0.058832,0.004271,0.009031,1.178986,0.758054,0.550902,0.413987,0.282560,0.252320,0.180817,0.160876,0.142982,0.104381,0.127753,0.096671,0.105888,0.001056,0.000442,0.040581,0.052581,0.001504,0.000302,0.000230,0.000130,0.000235,0.000431,0.000363,0.000115,0.005871,Acoustic_guitar
0.070153,0.043982,3.214899,0.108982,0.165964,0.022647,0.002064,0.045417,-25.868780,0.692515,-2.232331,0.876308,0.620289,-0.570373,-0.351225,0.586402,-0.009396,-0.434476,0.122768,0.314680,-0.205770,0.003846,0.002795,0.171254,0.004943,0.001827,0.000531,0.000526,0.000242,0.000522,0.000371,0.000573,0.000578,0.047235,0.026019,0.017118,0.109973,0.023048,0.031151,0.016293,0.002307,0.000157,0.839372,0.582595,0.270934,0.145860,0.076851,0.075822,0.044589,0.073498,0.067597,0.036957,0.040805,0.035036,0.025582,0.007839,0.000537,0.015478,0.000801,0.003286,0.000492,0.000673,0.000166,0.001184,0.000244,0.000769,0.000082,0.003716,Acoustic_guitar
0.024228,0.018437,2.931752,0.108267,0.184851,0.178052,0.010540,0.032220,-28.672966,2.786888,0.669897,0.683670,0.201476,0.016025,0.218516,0.027511,-0.144417,-0.056213,0.040296,-0.027254,0.094604,0.014740,0.000870,0.060449,0.031621,0.088165,0.003940,0.015369,0.008558,0.003809,0.017274,0.013405,0.001394,0.035634,0.014397,0.031274,0.544504,0.036036,0.049829,0.207107,0.009496,0.033329,4.512787,0.524700,0.372096,0.351165,0.297856,0.390764,0.243925,0.288599,0.267926,0.232376,0.204721,0.201222,0.183347,0.022049,0.000985,0.042349,0.028016,0.051216,0.004314,0.012726,0.015180,0.003416,0.017135,0.012761,0.002294,0.012077,Acoustic_guitar
0.082084,0.024499,3.205317,0.136334,0.155757,0.772517,0.002917,0.153074,-23.657298,1.934204,-0.275891,0.163730,-0.030996,-0.066767,-0.206249,-0.289093,-0.354848,-0.157331,-0.265972,-0.293263,-0.050861,0.023147,0.001231,0.024838,0.045779,0.010416,0.015437,0.007463,0.002077,0.012291,0.017998,0.026884,0.005759,0.025381,0.028567,0.015814,0.100114,0.025677,0.016157,0.321514,0.001826,0.078611,0.766360,0.417987,0.311620,0.270105,0.197744,0.204428,0.240640,0.203326,0.186988,0.232799,0.228200,0.212044,0.168957,0.021096,0.000889,0.013671,0.025945,0.007270,0.008588,0.003980,0.001530,0.007434,0.011484,0.010417,0.003515,0.009202,Acoustic_guitar
0.033561,0.014336,3.092083,0.152174,0.218166,0.218475,0.011329,0.040634,-27.582203,3.175216,0.642811,0.337296,-0.239435,-0.273136,-0.238974,-0.129235,-0.188148,-0.233643,-0.277125,-0.181159,-0.125187,0.036949,0.001770,0.030788,0.005352,0.007680,0.092749,0.008308,0.000242,0.001617,0.011344,0.076391,0.001743,0.049972,0.035570,0.013859,0.364028,0.063188,0.042063,0.317976,0.012686,0.067757,2.472681,0.767994,0.366576,0.281865,0.275138,0.287204,0.207414,0.204274,0.222524,0.214553,0.180445,0.217934,0.228265,0.029667,0.002566,0.045399,0.006778,0.008456,0.084082,0.006520,0.000304,0.002230,0.010580,0.053218,0.002478,0.016115,Acoustic_guitar
0.030013,0.018220,3.288613,0.129779,0.212435,0.106951,0.002164,0.016950,-31.892933,3.313552,0.061048,-0.097813,-0.301643,-0.319880,-0.483630,-0.410622,-0.499270,-0.223155,0.168874,0.447712,0.435259,0.005936,0.000529,0.032836,0.003927,0.014126,0.071624,0.148418,0.000339,0.007951,0.002005,0.004861,0.000681,0.045237,0.019346,0.011557,0.017103,0.043819,0.026320,0.110289,0.001462,0.003497,1.666263,0.730535,0.217942,0.204679,0.257308,0.165189,0.174470,0.172750,0.141495,0.135852,0.130509,0.124854,0.133083,0.003308,0.000351,0.018681,0.002005,0.007891,0.018872,0.023019,0.000232,0.001628,0.000329,0.002154,0.000284,0.003837,Acoustic_guitar
0.045087,0.007316,3.195977,0.145835,0.210815,0.337645,0.003908,0.072692,-27.864578,2.847375,0.513262,0.217066,-0.151002,0.190595,0.035924,0.231622,-0.154974,-0.122690,-0.131687,-0.187211,-0.045070,0.054027,0.009598,0.015952,0.009846,0.009525,0.007201,0.030335,0.000658,0.001407,0.035245,0.043813,0.015372,0.037816,0.044746,0.006673,0.232967,0.050895,0.033241,0.434237,0.005099,0.091053,2.011259,0.768213,0.383430,0.328036,0.274400,0.243741,0.258895,0.276457,0.253718,0.229027,0.207400,0.222090,0.190229,0.025295,0.008236,0.015263,0.009214,0.007801,0.005343,0.021142,0.000725,0.001143,0.022159,0.025050,0.014994,0.011068,Acoustic_guitar
0.026819,0.031384,3.313608,0.114448,0.192988,0.026715,0.000742,0.027774,-28.566826,2.245256,-1.889639,-1.156720,-0.200535,0.687282,0.454017,-0.139808,-0.543400,-0.175731,0.246450,0.287915,0.018726,0.001109,0.000570,0.001536,0.001462,0.004447,0.173496,0.013487,0.004898,0.001696,0.000863,0.000819,0.000549,0.047315,0.000535,0.008854,0.003999,0.030505,0.035200,0.018457,0.000767,0.001545,0.780641,0.706662,0.201831,0.156792,0.071354,0.058613,0.047550,0.038900,0.031218,0.027460,0.032914,0.034307,0.017798,0.001972,0.000058,0.000928,0.000259,0.000753,0.008455,0.001029,0.000518,0.000175,0.000076,0.000281,0.000104,0.002345,Acoustic_guitar
